customer_id,customer_name,signup_date,home_store,loyalty_tier,total_orders,lifetime_revenue,first_purchase,last_purchase
C00001,Aditya Reddy,2023-01-02,S08,Silver,4,15845.51,2024-10-27,2025-10-03
C00002,Meera Das,2024-01-25,S04,Bronze,1,3944.59,2025-06-03,2025-06-03
C00003,Nikhil Krishnan,2023-04-16,S06,Platinum,5,19507.06,2024-02-12,2025-03-16
C00004,Rohan Kumar,2024-04-21,S08,Bronze,0,0.0,,
C00005,Karthik Menon,2024-02-06,S02,Gold,18,121333.66,2024-02-09,2025-10-30
C00006,Meera Kumar,2023-06-11,S07,Gold,5,35032.08,2024-01-17,2024-12-06
C00007,Priya Pillai,2023-07-21,S07,Gold,16,87277.67,2024-01-15,2025-10-22
C00008,Kavya Rao,2023-09-27,S03,Bronze,1,3877.78,2025-05-19,2025-05-19
C00009,Riya Pillai,2023-09-28,S10,Platinum,5,18340.66,2024-01-10,2025-04-12
C00010,Sara Reddy,2024-03-31,S03,Bronze,2,18868.84,2024-11-30,2025-10-01
C00011,Sanjay Menon,2024-04-06,S02,Bronze,12,41118.88,2024-06-05,2025-11-15
C00012,Diya Iyer,2023-09-09,S07,Bronze,0,0.0,,
C00013,Kavya Varma,2023-10-23,S04,Bronze,7,48789.95,2024-02-04,2025-12-02
C00014,Vivaan Krishnan,2023-12-04,S03,Bronze,11,45165.25,2024-01-23,2025-11-17
C00015,Karthik Kumar,2023-02-22,S02,Bronze,17,92024.08,2024-01-09,2025-12-21
C00016,Diya Thomas,2023-08-05,S07,Bronze,8,46324.63,2024-04-30,2025-12-31
C00017,Ishaan Das,2023-07-07,S07,Silver,1,4055.26,2024-09-30,2024-09-30
C00018,Divya Varma,2024-01-15,S05,Bronze,1,1590.3,2025-05-10,2025-05-10
C00019,Ananya Joseph,2024-05-07,S10,Silver,0,0.0,,
C00020,Ishaan Rao,2023-02-10,S03,Platinum,19,102743.2,2024-02-12,2025-11-07
C00021,Sanjay Patel,2023-06-06,S02,Bronze,9,24488.34,2024-01-13,2025-12-20
C00022,Meera Rao,2023-01-15,S06,Silver,12,39582.52,2024-01-04,2025-11-27
C00023,Rohan Iyer,2023-03-06,S07,Platinum,17,109209.15,2024-04-28,2025-11-25
C00024,Sara Sharma,2024-06-04,S02,Bronze,2,14033.65,2024-06-27,2025-11-07
C00025,Ishaan Das,2023-12-10,S01,Bronze,18,67899.24,2024-01-12,2025-10-09
C00026,Aditya Rao,2023-05-09,S08,Gold,19,126777.05,2024-01-04,2025-11-18
C00027,Arjun Krishnan,2024-04-16,S10,Platinum,30,134228.43,2024-04-17,2025-12-31
C00028,Anjali Sharma,2023-03-04,S06,Silver,2,2371.54,2025-01-21,2025-08-28
C00029,Ananya Nair,2023-05-19,S03,Bronze,0,0.0,,
C00030,Rohan Pillai,2024-05-13,S10,Gold,15,121945.37,2024-05-23,2025-11-28
C00031,Diya Reddy,2024-01-27,S08,Bronze,6,17864.47,2024-10-08,2025-05-24
C00032,Ishaan Pillai,2024-02-23,S05,Bronze,4,24944.7,2024-08-12,2025-11-17
C00033,Aarav Sharma,2023-10-16,S08,Bronze,5,46092.81,2024-03-15,2025-07-09
C00034,Riya Kumar,2024-01-14,S08,Bronze,2,6804.58,2024-12-24,2025-09-03
C00035,Arjun Joseph,2024-05-04,S09,Gold,14,90958.78,2024-06-09,2025-12-30
C00036,Sara Pillai,2023-08-19,S08,Gold,6,39000.54,2024-03-20,2025-08-09
C00037,Rohan Varma,2023-02-10,S06,Silver,10,97178.41,2024-04-25,2025-09-05
C00038,Priya Kumar,2023-01-28,S05,Bronze,2,27836.44,2024-04-25,2025-09-11
C00039,Divya Nair,2023-05-15,S04,Silver,4,46237.65,2024-05-03,2025-12-31
C00040,Sanjay Nair,2023-07-20,S06,Silver,7,44319.41,2024-05-25,2025-05-01
C00041,Rohan Gupta,2023-02-02,S07,Bronze,11,59880.34,2024-06-15,2025-12-12
C00042,Sara Pillai,2023-02-17,S10,Platinum,9,22307.48,2024-01-26,2025-10-20
C00043,Nikhil Iyer,2024-05-17,S04,Gold,21,83981.82,2024-05-19,2025-12-25
C00044,Nikhil Sharma,2024-02-11,S05,Silver,7,33583.45,2024-05-22,2025-11-13
C00045,Vivaan Joseph,2023-04-09,S04,Bronze,13,59013.26,2024-07-01,2025-12-18
C00046,Riya Patel,2024-06-30,S06,Silver,0,0.0,,
C00047,Sara Thomas,2024-04-06,S06,Gold,5,6482.49,2025-03-27,2025-12-28
C00048,Sara Gupta,2023-01-05,S01,Bronze,20,95051.19,2024-01-17,2025-12-30
C00049,Divya Rao,2023-08-06,S05,Gold,2,2865.91,2024-11-16,2025-10-01
C00050,Rohan Gupta,2024-05-17,S01,Bronze,1,3328.98,2024-08-02,2024-08-02
C00051,Divya Pillai,2024-02-02,S01,Silver,10,36816.88,2024-02-17,2025-12-19
C00052,Vikram Menon,2024-01-28,S07,Silver,6,13510.41,2024-01-28,2025-07-16
C00053,Sara Pillai,2023-07-26,S02,Silver,19,66658.06,2024-03-14,2025-12-05
C00054,Arjun Krishnan,2023-01-15,S03,Gold,27,112469.96,2024-01-01,2025-12-17
C00055,Karthik Kumar,2024-04-05,S01,Bronze,3,14213.83,2024-07-22,2025-05-27
C00056,Anjali Thomas,2023-08-29,S02,Bronze,6,51313.81,2024-01-15,2025-09-06
C00057,Vivaan Varma,2023-04-06,S07,Silver,15,75893.13,2024-01-29,2025-12-18
C00058,Sara Menon,2024-04-29,S04,Bronze,5,23654.88,2024-10-28,2025-12-01
C00059,Arjun Nair,2024-02-11,S08,Silver,11,49902.03,2024-05-29,2025-11-26
C00060,Neha Menon,2023-08-19,S03,Bronze,3,13877.92,2024-04-19,2025-03-18
C00061,Aditya Iyer,2023-06-20,S03,Bronze,3,9785.89,2024-03-21,2025-12-07
C00062,Riya Reddy,2024-06-24,S03,Silver,2,6268.65,2024-07-06,2024-12-16
C00063,Priya Krishnan,2023-02-05,S06,Silver,7,34056.65,2024-01-01,2025-11-25
C00064,Nikhil Patel,2024-06-08,S05,Bronze,2,16101.87,2024-07-25,2025-08-10
C00065,Riya Rao,2023-06-09,S09,Bronze,8,73716.5,2024-03-01,2025-10-04
C00066,Priya Varma,2023-08-31,S05,Bronze,7,28140.46,2024-10-14,2025-11-16
C00067,Karthik Sharma,2023-03-27,S04,Bronze,2,28926.89,2024-11-16,2025-03-30
C00068,Kavya Reddy,2023-01-28,S07,Bronze,13,46822.83,2024-02-24,2025-11-13
C00069,Vivaan Rao,2023-12-06,S09,Bronze,3,3585.4,2024-10-11,2025-11-02
C00070,Nikhil Patel,2023-11-27,S03,Silver,4,30201.95,2024-06-28,2025-10-13
C00071,Meera Kumar,2024-05-20,S02,Silver,9,28159.53,2024-06-27,2025-11-20
C00072,Nikhil Kumar,2023-12-14,S06,Bronze,4,8052.89,2024-03-24,2025-12-27
C00073,Divya Patel,2024-04-17,S04,Silver,11,93884.58,2024-06-08,2025-10-18
C00074,Meera Varma,2023-08-19,S10,Gold,3,13871.67,2024-05-02,2025-03-23
C00075,Priya Joseph,2023-07-09,S04,Bronze,3,13193.73,2024-04-05,2025-05-20
C00076,Arjun Nair,2023-08-13,S01,Bronze,1,17421.78,2024-05-14,2024-05-14
C00077,Anjali Das,2024-01-20,S10,Silver,3,14522.52,2024-09-26,2025-09-08
C00078,Ananya Iyer,2024-01-12,S08,Bronze,11,68714.02,2024-02-18,2025-10-14
C00079,Meera Iyer,2023-10-10,S02,Silver,8,91704.66,2024-05-08,2025-12-26
C00080,Riya Sharma,2023-09-16,S09,Gold,11,23795.48,2024-03-13,2025-11-28
C00081,Nikhil Varma,2023-12-25,S03,Silver,5,19650.31,2025-01-06,2025-12-22
C00082,Diya Thomas,2024-03-31,S03,Silver,3,3674.03,2024-05-25,2025-07-01
C00083,Riya Thomas,2024-02-15,S09,Silver,12,54887.48,2024-03-16,2025-12-06
C00084,Sara Kumar,2023-11-14,S05,Bronze,7,26986.06,2024-03-14,2025-07-11
C00085,Karthik Sharma,2023-08-13,S01,Bronze,3,7535.38,2024-07-25,2025-12-04
